"1","1"
"5","1"
"6","1"
"7","1"
"10","1"
"18","1"
"21","1"
"22","1"
"24","1"
"27","1"
"29","1"
"36","1"
"37","1"
"44","1"
"1","2"
"4","2"
"5","2"
"6","2"
"7","2"
"11","2"
"13","2"
"14","2"
"15","2"
"16","2"
"17","2"
"29","2"
"30","2"
"32","2"
"33","2"
"37","2"
"40","2"
"41","2"
"45","2"
"47","2"
"1","3"
"3","3"
"4","3"
"6","3"
"7","3"
"8","3"
"9","3"
"11","3"
"13","3"
"14","3"
"16","3"
"17","3"
"19","3"
"22","3"
"24","3"
"25","3"
"29","3"
"30","3"
"31","3"
"32","3"
"35","3"
"38","3"
"40","3"
"41","3"
"43","3"
"44","3"
"45","3"
"47","3"
"48","3"
"49","3"
"1","4"
"29","4"
"1","5"
"5","5"
"8","5"
"9","5"
"11","5"
"13","5"
"14","5"
"22","5"
"24","5"
"29","5"
"30","5"
"31","5"
"32","5"
"33","5"
"35","5"
"37","5"
"38","5"
"40","5"
"41","5"
"43","5"
"45","5"
"47","5"
"48","5"
"49","5"
"1","6"
"3","6"
"5","6"
"8","6"
"9","6"
"11","6"
"13","6"
"14","6"
"15","6"
"16","6"
"17","6"
"19","6"
"25","6"
"29","6"
"30","6"
"31","6"
"32","6"
"33","6"
"35","6"
"37","6"
"38","6"
"40","6"
"41","6"
"45","6"
"47","6"
"48","6"
"49","6"
"1","7"
"2","7"
"3","7"
"5","7"
"8","7"
"9","7"
"11","7"
"13","7"
"14","7"
"15","7"
"18","7"
"19","7"
"24","7"
"25","7"
"26","7"
"30","7"
"31","7"
"32","7"
"34","7"
"35","7"
"36","7"
"41","7"
"44","7"
"46","7"
"50","7"
"1","8"
"3","8"
"4","8"
"5","8"
"8","8"
"9","8"
"11","8"
"13","8"
"14","8"
"16","8"
"17","8"
"22","8"
"25","8"
"29","8"
"30","8"
"31","8"
"32","8"
"33","8"
"35","8"
"37","8"
"38","8"
"40","8"
"41","8"
"43","8"
"45","8"
"47","8"
"48","8"
"49","8"
"1","9"
"21","9"
"29","9"
"1","10"
"6","10"
"7","10"
"8","10"
"15","10"
"19","10"
"24","10"
"29","10"
"30","10"
"38","10"
"41","10"
"44","10"
"49","10"
"50","10"
"1","11"
"3","11"
"4","11"
"8","11"
"9","11"
"11","11"
"13","11"
"14","11"
"17","11"
"18","11"
"25","11"
"26","11"
"28","11"
"29","11"
"30","11"
"31","11"
"32","11"
"33","11"
"35","11"
"38","11"
"40","11"
"41","11"
"43","11"
"45","11"
"46","11"
"47","11"
"48","11"
"1","12"
"29","12"
"2","13"
"8","13"
"9","13"
"10","13"
"11","13"
"12","13"
"16","13"
"17","13"
"18","13"
"20","13"
"21","13"
"23","13"
"24","13"
"25","13"
"26","13"
"27","13"
"28","13"
"30","13"
"31","13"
"32","13"
"34","13"
"35","13"
"36","13"
"38","13"
"39","13"
"40","13"
"41","13"
"42","13"
"43","13"
"44","13"
"45","13"
"46","13"
"48","13"
"50","13"
"2","14"
"3","14"
"4","14"
"6","14"
"7","14"
"8","14"
"9","14"
"10","14"
"11","14"
"12","14"
"13","14"
"14","14"
"15","14"
"16","14"
"17","14"
"20","14"
"22","14"
"23","14"
"24","14"
"25","14"
"26","14"
"27","14"
"28","14"
"31","14"
"32","14"
"33","14"
"34","14"
"35","14"
"36","14"
"37","14"
"39","14"
"40","14"
"42","14"
"43","14"
"44","14"
"45","14"
"46","14"
"47","14"
"48","14"
"50","14"
"2","15"
"3","15"
"8","15"
"10","15"
"12","15"
"15","15"
"16","15"
"17","15"
"19","15"
"20","15"
"21","15"
"23","15"
"24","15"
"26","15"
"27","15"
"28","15"
"32","15"
"34","15"
"35","15"
"36","15"
"39","15"
"42","15"
"46","15"
"50","15"
"2","16"
"5","16"
"8","16"
"10","16"
"11","16"
"12","16"
"15","16"
"20","16"
"21","16"
"23","16"
"24","16"
"27","16"
"28","16"
"34","16"
"36","16"
"39","16"
"42","16"
"44","16"
"46","16"
"47","16"
"48","16"
"50","16"
"2","17"
"12","17"
"21","17"
"23","17"
"34","17"
"42","17"
"3","18"
"4","18"
"8","18"
"9","18"
"13","18"
"14","18"
"17","18"
"29","18"
"30","18"
"33","18"
"35","18"
"38","18"
"40","18"
"48","18"
"50","18"
"3","19"
"4","19"
"5","19"
"6","19"
"11","19"
"13","19"
"14","19"
"16","19"
"17","19"
"25","19"
"30","19"
"33","19"
"38","19"
"40","19"
"41","19"
"3","20"
"7","20"
"24","20"
"49","20"
"3","21"
"8","21"
"9","21"
"14","21"
"26","21"
"30","21"
"31","21"
"32","21"
"35","21"
"38","21"
"43","21"
"45","21"
"46","21"
"48","21"
"3","22"
"4","22"
"8","22"
"9","22"
"11","22"
"13","22"
"14","22"
"16","22"
"17","22"
"31","22"
"32","22"
"33","22"
"35","22"
"38","22"
"40","22"
"41","22"
